region,country,province,status,elapsed_s,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay,MAPE,Data Start Date
Mauritius,Mauritius,None,ok,86.0,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Kazakhstan,Kazakhstan,None,ok,281.6,1.25,10.0,1.0,0.05,0.01,0.4898773834945077,0.40814534442169975,0.1,1.7504735628551242,7.0,0.3125123672262772,25.105976907133524,2020-03-15
Lebanon,Lebanon,None,ok,233.5,1.25,-7.003114373737191,1.0,0.5,0.030815600960641145,0.5,0.1,0.1,0.0,6.7851532483153525,0.1,4.846499197936633,2020-03-15
Kosovo,Kosovo,None,ok,268.5,1.25,-6.608900056884375,1.0,0.5,0.04166978501896811,0.5,1.40009909794037,2.0126685694403723,0.0,6.476523888787995,4.941854102638164,5.090701699689526,2020-03-15
Montenegro,Montenegro,None,ok,87.1,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Liechtenstein,Liechtenstein,None,ok,224.6,0.75,-10.0,3.0,0.12954308846792353,0.012446939600858697,0.47914958112397005,0.1,2.2864985060668324,0.0,6.86818226023587,0.44675643262010245,0.7603217690333717,2020-03-15
Mozambique,Mozambique,None,ok,81.0,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Nicaragua,Nicaragua,None,ok,77.7,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Luxembourg,Luxembourg,None,ok,248.1,0.75,-10.0,1.7389367593736447,0.0799229176665598,0.02795313970001932,0.027064723062838563,3.247717448756202,4.210545099623611,2.424666214624682,0.8411949301761475,0.5564034080373078,0.6841221622673421,2020-03-15
Niger,Niger,None,ok,79.5,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Maldives,Maldives,None,ok,218.5,1.25,5.747534340729169,1.0,0.05,0.01,0.5,0.1,0.1,0.0,0.0,0.1,37.8491289454846,2020-03-15
Malaysia,Malaysia,None,ok,255.8,1.0012578071314555,-10.0,1.0,0.5,0.01821058532078461,0.5,0.1,0.7617866537317772,0.0,0.622622552078964,1.767454121952916,3.0231617785676996,2020-03-15
Mauritania,Mauritania,None,ok,227.4,1.25,10.0,1.0,0.05,0.08156553060889747,0.0,0.6789783871335258,0.10176641270593975,0.04193257332505372,6.999479776979966,0.8921847411576257,27.108266823056525,2020-03-15
Monaco,Monaco,None,ok,215.7,0.75,-10.0,3.0,0.09122219986643118,0.04164249081231588,0.0,2.278341162253433,2.7070803244185573,1.7466095598200104,3.8911222916784527,2.0190963543614386,1.2678756515640868,2020-03-15
Mongolia,Mongolia,None,ok,214.5,1.25,7.225475077021833,1.0,0.05,0.01,0.22982089172936063,0.1,0.1,0.0,5.963757833264532,1.41607671380856,,2020-03-15
Moldova,Moldova,None,ok,240.2,1.25,10.0,1.0,0.0658549748675675,0.0923346573241591,0.5,0.14190426204060327,0.11723296935669539,0.04473666568433336,0.011158534724550034,0.27178750422787734,4.354635883609658,2020-03-15
Mexico,Mexico,None,ok,252.4,1.25,10.0,1.0,0.05,0.1781635232377507,0.0,0.1,0.1,0.8641305981847093,7.0,5.0,8.392252413255877,2020-03-15
Papua New Guinea,Papua New Guinea,None,ok,85.1,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,,2020-03-15
Malta,Malta,None,ok,267.3,1.016189680809617,-9.591770402647334,1.000784368073806,0.0500029054619496,0.015403687917727928,0.0,0.9056252569917763,0.6829717413398487,0.0009762398519074063,6.46075186753101,0.7576145223513201,3.5597713514998257,2020-03-15
Morocco,Morocco,None,ok,238.9,1.25,-5.683660641538828,1.0,0.5,0.04239278350032448,0.5,0.1,3.579924609498042,0.0,0.0,0.8688896301509356,3.3358386994145532,2020-03-15
Namibia,Namibia,None,ok,215.0,1.25,-7.360429497858008,1.0,0.05,0.01,0.49982993962456607,0.1,0.1,0.0,0.023276698233132925,0.33306669201224304,,2020-03-15
Nepal,Nepal,None,ok,254.8,1.25,10.0,1.0,0.05,0.01,0.15077916062728036,0.12542229408299702,0.10035220292533857,1.7711394182822893,3.4276296409895686,3.0036212264154014,34.989859176313196,2020-03-15
New Zealand,New Zealand,None,ok,277.2,0.75,-10.0,3.0,0.07997428144804175,0.015458419501805216,0.0,8.143591935371843,0.1,3.374218428509766,2.1681519916650998,3.6249813286920656,0.5309046126409103,2020-03-15
Netherlands,Netherlands,None,ok,282.8,0.885896082681073,-9.746542791530656,1.0,0.12320611386574543,0.1753067678918336,0.3759449482988721,0.16118269038602503,1.9536898558382723,0.34070913362763405,3.555107646316534,0.6082487840511982,0.7725156923064577,2020-03-15
North Macedonia,North Macedonia,None,ok,273.3,1.25,8.00330523981414,1.0,0.5,0.05482121157499973,0.016862403877889388,0.1,0.1,0.0,1.4272656694596115,4.811437215112797,8.36565215595652,2020-03-15
Sao Tome and Principe,Sao Tome and Principe,None,ok,92.9,1.0,0.0,2.0,0.2,0.05,0.2,3.0,3.0,0.1,3.0,1.0,100.0,2020-03-15
Oman,Oman,None,ok,243.8,1.25,10.0,1.0,0.05,0.01,0.010151613666558035,0.1,0.1,0.29062190596640963,7.0,5.0,23.085421683317804,2020-03-15
Nigeria,Nigeria,None,ok,300.5,1.25,10.0,1.0,0.05000126698783194,0.042213345579460854,0.0,0.5060601233242623,0.3747391586271412,4.074193674742455,6.396767339654879,0.29652062005317104,5.195187965985621,2020-03-15
