region,policy_vector,month1,month2,month3,economic_costs,humanitarian_costs,total_costs,num_cases,num_deaths,d_costs,h_costs,mh_costs,hospitalization_days,icu_days
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools,46157228283.05868,90458230509.84232,136615458792.901,235444,11406,50230656084.28811,342585606.00000006,39884988819.55421,468609.5294117647,16337.470588235296
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,34693482486.655235,130216656339.5023,164910138826.15753,433622,20275,89412173807.19289,471352843.90243906,40333129688.40698,639150.5882352941,23317.411764705885
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,48290469436.56002,86795634928.42517,135086104364.9852,217341,10589,46622559124.30473,329023385.9268293,39844052418.1936,450592.4117647059,15610.588235294119
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools', 'Lockdown']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,Lockdown,55349596095.04128,78640542069.51111,133990138164.5524,177228,8770,38590926068.35597,296271303.6585366,39753344697.4966,407002.9411764706,13867.058823529413
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'No_Measure']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,No_Measure,23226053102.452408,782108426789.2537,805334479891.706,3657504,165687,731606800364.9755,2878316793.804878,47623309630.47327,3847543.6470588236,150702.35294117648
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings,25350623775.44529,572883891877.959,598234515653.4043,2608880,119013,525363592528.26874,2268248236.6097565,45252051113.08047,3041598.6470588236,117327.35294117648
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools,36211233593.237656,248175995928.92578,284387229522.16345,989841,46579,205360176752.61963,1224908775.9512196,41590910400.35493,1660109.294117647,60723.705882352944
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,27278222663.951637,474250201569.52155,501528424233.4732,2115472,97010,428144301689.2902,1969594661.3414636,44136305218.88985,2646697.3529411764,101042.64705882354
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,38101307235.6272,226482393087.30573,264583700322.93292,882623,41740,183989853480.13113,1144081788.2195122,41348457818.95509,1552729.9411764706,56392.05882352941
BR,"['Restrict_Mass_Gatherings', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others', 'Lockdown']",Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,44613306311.93357,177568825168.02075,222182131479.9543,642001,30830,135817453400.76253,947033639.4146343,40804338127.843605,1290459.5294117648,45905.470588235294
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'No_Measure']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,No_Measure,28877166772.525307,148589167589.6443,177466334362.1696,529253,24374,107553785854.67358,486001204.2439025,40549380530.72681,656243.4117647059,24457.58823529412
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings,33474007328.142746,120226592698.28174,153700600026.4245,386656,18047,79592352988.06831,407314464.51219517,40226925245.70123,552381.4705882353,20139.529411764706
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools,48201634094.67868,79800407705.8897,128002041800.56837,184785,9029,39749608958.124596,280365369.6585366,39770433378.10656,384356.0,13242.0
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,36574338602.78617,107535718916.87573,144110057519.6619,323026,15216,67082509538.83255,370170958.7560976,40083038419.287094,503301.9411764706,18109.058823529413
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,50349967651.29913,77258450549.08345,127608418200.38258,172213,8462,37245511541.70595,270934753.6097561,39742004253.767746,371833.29411764705,12735.705882352942
BR,"['Restrict_Mass_Gatherings', 'Restrict_Mass_Gatherings_and_Schools_and_Others', 'Lockdown']",Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,57442668153.20428,71604982865.31596,129047651018.52023,144404,7201,31677668618.991444,248194618.6097561,39679119627.71477,341563.0,11526.0
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'No_Measure']",Restrict_Mass_Gatherings,Lockdown,No_Measure,35107253620.32914,78815865936.69089,113923119557.02002,185317,8810,38826477106.267746,217752438.1463415,39771636392.276794,297448.70588235295,10445.29411764706
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings,Lockdown,Restrict_Mass_Gatherings,39987646349.174225,71123369259.40231,111111015608.57654,146635,7094,31242759198.04799,196445462.5609756,39684164598.79335,269327.35294117645,9275.64705882353
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings,Lockdown,Restrict_Mass_Gatherings_and_Schools,55119444451.38169,60359972625.92798,115479417077.30966,92883,4693,20634777138.181515,162580546.24390244,39562614941.502556,224499.5294117647,7436.470588235295
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,43214968285.31832,67716319563.62569,110931287848.944,129544,6334,27884337377.874424,186465547.8292683,39645516637.922,256139.82352941178,8730.176470588236
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'Restrict_Mass_Gatherings_and_Schools_and_Others']",Restrict_Mass_Gatherings,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,57293105740.0129,59692120234.234634,116985225974.24753,89593,4544,19976846367.773315,160098617.85365856,39555175248.60766,221202.58823529413,7303.411764705883
BR,"['Restrict_Mass_Gatherings', 'Lockdown', 'Lockdown']",Restrict_Mass_Gatherings,Lockdown,Lockdown,64441960023.11279,58225818736.83358,122667778759.94638,82363,4217,18532852156.10727,154140566.0487805,39538826014.67753,213275.0588235294,6985.941176470588
BR,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'No_Measure']",Restrict_Mass_Gatherings_and_Schools,No_Measure,No_Measure,23360821525.05814,268731294489.15613,292092116014.2143,1134758,51167,225975779170.7134,836903405.8536586,41918611912.589066,1116042.3529411764,44219.64705882353
BR,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Restrict_Mass_Gatherings']",Restrict_Mass_Gatherings_and_Schools,No_Measure,Restrict_Mass_Gatherings,27381067338.623043,198302562217.8224,225683629556.44543,780853,35456,156544392218.8146,639845172.7317073,41118324826.276054,855911.4117647059,33409.58823529412
BR,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Restrict_Mass_Gatherings_and_Schools']",Restrict_Mass_Gatherings_and_Schools,No_Measure,Restrict_Mass_Gatherings_and_Schools,41263189358.58917,95802973929.71309,137066163288.30226,269125,12591,55524651347.94153,317170754.195122,39961151827.57644,428824.35294117645,15878.64705882353
BR,"['Restrict_Mass_Gatherings_and_Schools', 'No_Measure', 'Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others']",Restrict_Mass_Gatherings_and_Schools,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,30218767332.230865,166398762445.15652,196617529777.3874,620975,28339,125095931436.96364,546039075.7317073,40756791932.46118,731945.0,28284.000000000004
