Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Africa,Equatorial Guinea,None,4/24/20,19.81973561,2.035773458,-7.576945363,1.949813971,0.021660908,0.038326385,0.160810215,0.05574795,0.124456886,1.993611043,64.9125156,2.616248031
Europe,Estonia,None,3/14/20,27.09089172,1.204849452,-69.94696268,0.628566709,0.076117488,0.039386325,0.126961109,4.481781461,0.000175598,0.503238625,99.64942327,0.956949015
Africa,Ethiopia,None,4/18/20,23.79442677,4.43353966,-2.77137304,2.345908663,0.082466709,0.0261986,0.050595174,0.004924048,0.002098581,0,65.81080584,0.965017625
Europe,Finland,None,3/13/20,43.27895322,2.751195232,-14.81031769,2.302161423,0.134820842,0.051349711,0.082373986,2.5986136,0.001577994,0.903493418,103.3613537,1.084061703
Europe,France,None,2/29/20,21.37564814,0.793517892,22.18731837,2.411836203,0.174855511,0.166019436,0.046023485,5.450691112,0.921449262,4.582985886,106.9383544,2.857930049
Africa,Gabon,None,4/17/20,12.52042488,1.296544192,-16.33239614,0.690283083,0.251457872,0.007442984,0.168784821,0.939874195,0.133092819,0.275419023,64.94876066,0.95557476
Asia,Georgia,None,3/30/20,7.679856586,0.832350688,-83.24495741,0.285928421,0.191471857,0.017517915,0.175134775,0.643281522,0.62714925,0.998525323,66.9739735,1.000329547
Europe,Germany,None,3/1/20,56.10063474,2.714868488,5.044104056,4.431402691,0.071760554,0.049393941,0.012320059,2.707295905,0.477221489,3.034369815,98.53670136,1.016233566
Africa,Ghana,None,3/26/20,12.1778775,1.365214654,-17.72433555,0.570915095,0.16427564,0.004736139,0.198359717,0.79077628,0.021261227,0.724242109,79.98176804,1.23494311
Europe,Greece,None,3/13/20,5.855197976,1.053202789,-89.44072785,0.452915668,0.10604364,0.067934947,0.168801841,4.405546169,0.01260031,4.120189517,87.00014149,1.328624089
