region,t0,policy_before,policy_after,severity_change,direction
Hungary__None,2020-06-02,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Iceland__None,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Iceland__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Iceland__None,2020-05-04,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
India__None,2020-03-22,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
India__None,2020-03-23,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
India__None,2020-03-25,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
India__None,2020-05-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
India__None,2020-06-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Iran__None,2020-05-16,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Iran__None,2020-05-26,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Iraq__None,2020-03-26,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Ireland__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Ireland__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Ireland__None,2020-03-28,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Ireland__None,2020-05-18,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Israel__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Israel__None,2020-03-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Israel__None,2020-06-30,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Israel__None,2020-07-06,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Israel__None,2020-07-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Italy__None,2020-03-10,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Jamaica__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Jamaica__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Jamaica__None,2020-04-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Jamaica__None,2020-04-15,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Jamaica__None,2020-04-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Jordan__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Jordan__None,2020-05-12,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Kazakhstan__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Kazakhstan__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Kenya__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Kenya__None,2020-03-15,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Kenya__None,2020-03-27,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Kenya__None,2020-04-06,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Kenya__None,2020-07-07,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
"Korea,_South__None",2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
"Korea,_South__None",2020-04-18,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
"Korea,_South__None",2020-04-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Kosovo__None,2020-03-08,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Kosovo__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Kosovo__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Kosovo__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Kosovo__None,2020-07-06,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Kuwait__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Kuwait__None,2020-03-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Kuwait__None,2020-04-06,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Kuwait__None,2020-04-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Kuwait__None,2020-05-31,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
Kuwait__None,2020-06-09,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Latvia__None,2020-03-11,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Latvia__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Lebanon__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Lebanon__None,2020-05-03,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Lebanon__None,2020-05-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Lebanon__None,2020-05-18,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Liberia__None,2020-03-22,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Liberia__None,2020-04-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Liberia__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Libya__None,2020-03-14,No_Measure,Restrict_Mass_Gatherings,1,tightening
Libya__None,2020-03-15,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools,2,tightening
Libya__None,2020-03-16,Restrict_Mass_Gatherings_and_Schools,Restrict_Mass_Gatherings_and_Schools_and_Others,2,tightening
Libya__None,2020-03-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Libya__None,2020-03-24,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Libya__None,2020-04-08,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Libya__None,2020-06-27,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Lithuania__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Lithuania__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Lithuania__None,2020-05-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Luxembourg__None,2020-03-09,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Luxembourg__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Luxembourg__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Luxembourg__None,2020-04-20,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Luxembourg__None,2020-05-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Luxembourg__None,2020-06-26,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Luxembourg__None,2020-07-19,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Madagascar__None,2020-03-15,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Madagascar__None,2020-03-21,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Madagascar__None,2020-04-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Madagascar__None,2020-06-27,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Malawi__None,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Malawi__None,2020-03-23,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Malaysia__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Malaysia__None,2020-03-14,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Malaysia__None,2020-07-22,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Mali__None,2020-03-18,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Mali__None,2020-03-25,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Mali__None,2020-03-26,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Mali__None,2020-05-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Malta__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Malta__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Malta__None,2020-03-28,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Malta__None,2020-06-05,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Malta__None,2020-07-01,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Mauritania__None,2020-03-13,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Mauritania__None,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Mauritania__None,2020-07-10,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
Mauritius__None,2020-03-19,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Mauritius__None,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Mauritius__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Mauritius__None,2020-05-30,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Mauritius__None,2020-06-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Mexico__None,2020-03-21,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Mexico__None,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Mexico__None,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Mexico__None,2020-06-01,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Moldova__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Moldova__None,2020-03-11,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Moldova__None,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Moldova__None,2020-05-16,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Monaco__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Monaco__None,2020-03-13,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Monaco__None,2020-03-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Monaco__None,2020-05-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Morocco__None,2020-03-14,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Morocco__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Morocco__None,2020-03-20,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Morocco__None,2020-06-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Mozambique__None,2020-03-23,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Namibia__None,2020-03-14,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
Namibia__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Namibia__None,2020-07-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Nepal__None,2020-03-18,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Nepal__None,2020-03-19,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Nepal__None,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Nepal__None,2020-07-22,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Netherlands__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Netherlands__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Netherlands__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Netherlands__None,2020-05-11,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Netherlands__None,2020-06-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
New_Zealand__None,2020-03-16,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
New_Zealand__None,2020-03-23,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Lockdown,2,tightening
New_Zealand__None,2020-05-14,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
New_Zealand__None,2020-06-08,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-2,relaxing
Niger__None,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
Niger__None,2020-03-17,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
Niger__None,2020-03-20,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Niger__None,2020-05-13,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
Nigeria__None,2020-05-04,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
Norway__None,2020-03-11,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Norway__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Norway__None,2020-05-11,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Oman__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Oman__None,2020-04-10,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Oman__None,2020-04-30,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Oman__None,2020-07-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Pakistan__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Pakistan__None,2020-03-23,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Pakistan__None,2020-05-17,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Panama__None,2020-03-13,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Panama__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Panama__None,2020-06-06,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Paraguay__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Paraguay__None,2020-03-17,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Paraguay__None,2020-06-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Paraguay__None,2020-06-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Peru__None,2020-03-12,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Peru__None,2020-03-15,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Peru__None,2020-07-01,Lockdown,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-2,relaxing
Philippines__None,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Philippines__None,2020-03-18,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Philippines__None,2020-05-29,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Poland__None,2020-03-10,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Poland__None,2020-03-12,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Poland__None,2020-03-31,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Poland__None,2020-04-20,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Portugal__None,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Portugal__None,2020-03-16,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Portugal__None,2020-03-19,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Portugal__None,2020-05-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Qatar__None,2020-03-15,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Romania__None,2020-03-08,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Romania__None,2020-03-11,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Romania__None,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Romania__None,2020-05-16,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
Russia__None,2020-03-17,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
Russia__None,2020-03-19,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Russia__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Russia__None,2020-03-28,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
Russia__None,2020-04-06,Restrict_Mass_Gatherings_and_Schools_and_Others,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,-1,relaxing
Rwanda__None,2020-03-20,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
Rwanda__None,2020-03-21,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
Rwanda__None,2020-06-24,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
