region,t0,policy_before,policy_after,severity_change,direction
US__California,2020-03-11,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__California,2020-03-19,Restrict_Mass_Gatherings,Lockdown,5,tightening
US__California,2020-06-04,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Colorado,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Colorado,2020-03-19,Mass_Gatherings_Authorized_But_Others_Restricted,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,2,tightening
US__Colorado,2020-03-23,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Colorado,2020-03-26,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Colorado,2020-05-10,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Connecticut,2020-03-12,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__Connecticut,2020-03-16,Restrict_Mass_Gatherings,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,3,tightening
US__Connecticut,2020-03-17,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Delaware,2020-03-16,No_Measure,Restrict_Mass_Gatherings_and_Schools_and_Others,5,tightening
US__Delaware,2020-03-24,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Delaware,2020-06-02,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__District_of_Columbia,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
US__District_of_Columbia,2020-03-16,Restrict_Mass_Gatherings,Restrict_Mass_Gatherings_and_Schools_and_Others,4,tightening
US__District_of_Columbia,2020-03-30,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__District_of_Columbia,2020-05-30,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Florida,2020-03-17,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Florida,2020-04-03,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
US__Florida,2020-05-19,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Florida,2020-06-06,Restrict_Mass_Gatherings_and_Schools_and_Others,Mass_Gatherings_Authorized_But_Others_Restricted,-3,relaxing
US__Georgia,2020-03-18,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Georgia,2020-03-24,Mass_Gatherings_Authorized_But_Others_Restricted,Restrict_Mass_Gatherings_and_Schools_and_Others,3,tightening
US__Georgia,2020-04-03,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Georgia,2020-05-02,Lockdown,Restrict_Mass_Gatherings_and_Schools_and_Others,-1,relaxing
US__Hawaii,2020-03-17,No_Measure,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,4,tightening
US__Hawaii,2020-03-19,Authorize_Schools_but_Restrict_Mass_Gatherings_and_Others,Restrict_Mass_Gatherings_and_Schools_and_Others,1,tightening
US__Hawaii,2020-03-25,Restrict_Mass_Gatherings_and_Schools_and_Others,Lockdown,1,tightening
US__Idaho,2020-03-23,No_Measure,Mass_Gatherings_Authorized_But_Others_Restricted,2,tightening
US__Idaho,2020-03-25,Mass_Gatherings_Authorized_But_Others_Restricted,Lockdown,4,tightening
US__Idaho,2020-05-02,Lockdown,Mass_Gatherings_Authorized_But_Others_Restricted,-4,relaxing
US__Illinois,2020-03-13,No_Measure,Restrict_Mass_Gatherings,1,tightening
